nohup: ignoring input
Running with pruning_method=0, pruning_rate=0.3, metric_seed=0, wandb_name=avg_loss_each_seed, on GPU=0
Running with pruning_method=0, pruning_rate=0.3, metric_seed=32, wandb_name=avg_loss_each_seed, on GPU=0
Running with pruning_method=0, pruning_rate=0.3, metric_seed=33, wandb_name=avg_loss_each_seed, on GPU=1
Running with pruning_method=0, pruning_rate=0.3, metric_seed=34, wandb_name=avg_loss_each_seed, on GPU=2
Running with pruning_method=0, pruning_rate=0.3, metric_seed=35, wandb_name=avg_loss_each_seed, on GPU=3
Running with pruning_method=0, pruning_rate=0.3, metric_seed=36, wandb_name=avg_loss_each_seed, on GPU=0
Running with pruning_method=0, pruning_rate=0.3, metric_seed=37, wandb_name=avg_loss_each_seed, on GPU=1
Running with pruning_method=0, pruning_rate=0.3, metric_seed=38, wandb_name=avg_loss_each_seed, on GPU=2
Running with pruning_method=0, pruning_rate=0.3, metric_seed=39, wandb_name=avg_loss_each_seed, on GPU=3
Running with pruning_method=0, pruning_rate=0.3, metric_seed=40, wandb_name=avg_loss_each_seed, on GPU=0
Running with pruning_method=0, pruning_rate=0.3, metric_seed=41, wandb_name=avg_loss_each_seed, on GPU=1
Running with pruning_method=0, pruning_rate=0.3, metric_seed=42, wandb_name=avg_loss_each_seed, on GPU=2
Running with pruning_method=0, pruning_rate=0.3, metric_seed=43, wandb_name=avg_loss_each_seed, on GPU=3
Running with pruning_method=0, pruning_rate=0.3, metric_seed=44, wandb_name=avg_loss_each_seed, on GPU=0
Running with pruning_method=0, pruning_rate=0.3, metric_seed=45, wandb_name=avg_loss_each_seed, on GPU=1
Running with pruning_method=0, pruning_rate=0.3, metric_seed=46, wandb_name=avg_loss_each_seed, on GPU=2
Running with pruning_method=0, pruning_rate=0.3, metric_seed=47, wandb_name=avg_loss_each_seed, on GPU=3
Running with pruning_method=0, pruning_rate=0.3, metric_seed=48, wandb_name=avg_loss_each_seed, on GPU=0
Running with pruning_method=0, pruning_rate=0.3, metric_seed=49, wandb_name=avg_loss_each_seed, on GPU=1
Running with pruning_method=0, pruning_rate=0.3, metric_seed=50, wandb_name=avg_loss_each_seed, on GPU=2
Running with pruning_method=0, pruning_rate=0.3, metric_seed=51, wandb_name=avg_loss_each_seed, on GPU=3
Running with pruning_method=0, pruning_rate=0.3, metric_seed=52, wandb_name=avg_loss_each_seed, on GPU=0
Running with pruning_method=0, pruning_rate=0.3, metric_seed=53, wandb_name=avg_loss_each_seed, on GPU=1
Running with pruning_method=0, pruning_rate=0.3, metric_seed=54, wandb_name=avg_loss_each_seed, on GPU=2
Running with pruning_method=0, pruning_rate=0.3, metric_seed=55, wandb_name=avg_loss_each_seed, on GPU=3
Running with pruning_method=0, pruning_rate=0.3, metric_seed=56, wandb_name=avg_loss_each_seed, on GPU=0
Running with pruning_method=0, pruning_rate=0.3, metric_seed=57, wandb_name=avg_loss_each_seed, on GPU=1
Running with pruning_method=0, pruning_rate=0.3, metric_seed=58, wandb_name=avg_loss_each_seed, on GPU=2
Running with pruning_method=0, pruning_rate=0.3, metric_seed=59, wandb_name=avg_loss_each_seed, on GPU=3
Running with pruning_method=0, pruning_rate=0.3, metric_seed=60, wandb_name=avg_loss_each_seed, on GPU=0
Running with pruning_method=0, pruning_rate=0.3, metric_seed=61, wandb_name=avg_loss_each_seed, on GPU=1
Running with pruning_method=0, pruning_rate=0.3, metric_seed=62, wandb_name=avg_loss_each_seed, on GPU=2
Running with pruning_method=0, pruning_rate=0.3, metric_seed=63, wandb_name=avg_loss_each_seed, on GPU=3
Running with pruning_method=0, pruning_rate=0.3, metric_seed=64, wandb_name=avg_loss_each_seed, on GPU=0
Running with pruning_method=0, pruning_rate=0.3, metric_seed=65, wandb_name=avg_loss_each_seed, on GPU=1
Running with pruning_method=0, pruning_rate=0.3, metric_seed=66, wandb_name=avg_loss_each_seed, on GPU=2
Running with pruning_method=0, pruning_rate=0.3, metric_seed=67, wandb_name=avg_loss_each_seed, on GPU=3
Running with pruning_method=0, pruning_rate=0.3, metric_seed=68, wandb_name=avg_loss_each_seed, on GPU=0
Running with pruning_method=0, pruning_rate=0.3, metric_seed=69, wandb_name=avg_loss_each_seed, on GPU=1
Running with pruning_method=0, pruning_rate=0.3, metric_seed=70, wandb_name=avg_loss_each_seed, on GPU=2
Running with pruning_method=0, pruning_rate=0.3, metric_seed=71, wandb_name=avg_loss_each_seed, on GPU=3
Running with pruning_method=0, pruning_rate=0.3, metric_seed=72, wandb_name=avg_loss_each_seed, on GPU=0
Running with pruning_method=0, pruning_rate=0.3, metric_seed=73, wandb_name=avg_loss_each_seed, on GPU=1
Running with pruning_method=0, pruning_rate=0.3, metric_seed=74, wandb_name=avg_loss_each_seed, on GPU=2
Running with pruning_method=0, pruning_rate=0.3, metric_seed=75, wandb_name=avg_loss_each_seed, on GPU=3
Running with pruning_method=0, pruning_rate=0.3, metric_seed=76, wandb_name=avg_loss_each_seed, on GPU=0
Running with pruning_method=0, pruning_rate=0.3, metric_seed=77, wandb_name=avg_loss_each_seed, on GPU=1
Running with pruning_method=0, pruning_rate=0.3, metric_seed=78, wandb_name=avg_loss_each_seed, on GPU=2
Running with pruning_method=0, pruning_rate=0.3, metric_seed=79, wandb_name=avg_loss_each_seed, on GPU=3
Running with pruning_method=0, pruning_rate=0.3, metric_seed=80, wandb_name=avg_loss_each_seed, on GPU=0
Running with pruning_method=0, pruning_rate=0.3, metric_seed=81, wandb_name=avg_loss_each_seed, on GPU=1
Running with pruning_method=0, pruning_rate=0.3, metric_seed=82, wandb_name=avg_loss_each_seed, on GPU=2
Running with pruning_method=0, pruning_rate=0.3, metric_seed=83, wandb_name=avg_loss_each_seed, on GPU=3
Running with pruning_method=0, pruning_rate=0.3, metric_seed=84, wandb_name=avg_loss_each_seed, on GPU=0
Running with pruning_method=0, pruning_rate=0.3, metric_seed=85, wandb_name=avg_loss_each_seed, on GPU=1
Running with pruning_method=0, pruning_rate=0.3, metric_seed=86, wandb_name=avg_loss_each_seed, on GPU=2
Running with pruning_method=0, pruning_rate=0.3, metric_seed=87, wandb_name=avg_loss_each_seed, on GPU=3
Running with pruning_method=0, pruning_rate=0.3, metric_seed=88, wandb_name=avg_loss_each_seed, on GPU=0
Running with pruning_method=0, pruning_rate=0.3, metric_seed=89, wandb_name=avg_loss_each_seed, on GPU=1
Running with pruning_method=0, pruning_rate=0.3, metric_seed=90, wandb_name=avg_loss_each_seed, on GPU=2
Running with pruning_method=0, pruning_rate=0.3, metric_seed=91, wandb_name=avg_loss_each_seed, on GPU=3
Running with pruning_method=0, pruning_rate=0.3, metric_seed=92, wandb_name=avg_loss_each_seed, on GPU=0
Running with pruning_method=0, pruning_rate=0.3, metric_seed=93, wandb_name=avg_loss_each_seed, on GPU=1
Running with pruning_method=0, pruning_rate=0.3, metric_seed=94, wandb_name=avg_loss_each_seed, on GPU=2
Running with pruning_method=0, pruning_rate=0.3, metric_seed=95, wandb_name=avg_loss_each_seed, on GPU=3
Running with pruning_method=0, pruning_rate=0.3, metric_seed=96, wandb_name=avg_loss_each_seed, on GPU=0
Running with pruning_method=0, pruning_rate=0.3, metric_seed=97, wandb_name=avg_loss_each_seed, on GPU=1
Running with pruning_method=0, pruning_rate=0.3, metric_seed=98, wandb_name=avg_loss_each_seed, on GPU=2
Running with pruning_method=0, pruning_rate=0.3, metric_seed=99, wandb_name=avg_loss_each_seed, on GPU=3
Running with pruning_method=0, pruning_rate=0.3, metric_seed=100, wandb_name=avg_loss_each_seed, on GPU=0
Running with pruning_method=0, pruning_rate=0.3, metric_seed=101, wandb_name=avg_loss_each_seed, on GPU=1
Running with pruning_method=0, pruning_rate=0.3, metric_seed=102, wandb_name=avg_loss_each_seed, on GPU=2
Running with pruning_method=0, pruning_rate=0.3, metric_seed=103, wandb_name=avg_loss_each_seed, on GPU=3
Running with pruning_method=0, pruning_rate=0.3, metric_seed=104, wandb_name=avg_loss_each_seed, on GPU=0
Running with pruning_method=0, pruning_rate=0.3, metric_seed=105, wandb_name=avg_loss_each_seed, on GPU=1
Running with pruning_method=0, pruning_rate=0.3, metric_seed=106, wandb_name=avg_loss_each_seed, on GPU=2
Running with pruning_method=0, pruning_rate=0.3, metric_seed=107, wandb_name=avg_loss_each_seed, on GPU=3
Running with pruning_method=0, pruning_rate=0.3, metric_seed=108, wandb_name=avg_loss_each_seed, on GPU=0
Running with pruning_method=0, pruning_rate=0.3, metric_seed=109, wandb_name=avg_loss_each_seed, on GPU=1
Running with pruning_method=0, pruning_rate=0.3, metric_seed=110, wandb_name=avg_loss_each_seed, on GPU=2
Running with pruning_method=0, pruning_rate=0.3, metric_seed=111, wandb_name=avg_loss_each_seed, on GPU=3
Running with pruning_method=0, pruning_rate=0.3, metric_seed=112, wandb_name=avg_loss_each_seed, on GPU=0
Running with pruning_method=0, pruning_rate=0.3, metric_seed=113, wandb_name=avg_loss_each_seed, on GPU=1
Running with pruning_method=0, pruning_rate=0.3, metric_seed=114, wandb_name=avg_loss_each_seed, on GPU=2
Running with pruning_method=0, pruning_rate=0.3, metric_seed=115, wandb_name=avg_loss_each_seed, on GPU=3
Running with pruning_method=0, pruning_rate=0.3, metric_seed=116, wandb_name=avg_loss_each_seed, on GPU=0
Running with pruning_method=0, pruning_rate=0.3, metric_seed=117, wandb_name=avg_loss_each_seed, on GPU=1
Running with pruning_method=0, pruning_rate=0.3, metric_seed=118, wandb_name=avg_loss_each_seed, on GPU=2
Running with pruning_method=0, pruning_rate=0.3, metric_seed=119, wandb_name=avg_loss_each_seed, on GPU=3
Running with pruning_method=0, pruning_rate=0.3, metric_seed=120, wandb_name=avg_loss_each_seed, on GPU=0
Running with pruning_method=0, pruning_rate=0.3, metric_seed=121, wandb_name=avg_loss_each_seed, on GPU=1
Running with pruning_method=0, pruning_rate=0.3, metric_seed=122, wandb_name=avg_loss_each_seed, on GPU=2
Running with pruning_method=0, pruning_rate=0.3, metric_seed=123, wandb_name=avg_loss_each_seed, on GPU=3
Running with pruning_method=0, pruning_rate=0.3, metric_seed=124, wandb_name=avg_loss_each_seed, on GPU=0
Running with pruning_method=0, pruning_rate=0.3, metric_seed=125, wandb_name=avg_loss_each_seed, on GPU=1
Running with pruning_method=0, pruning_rate=0.3, metric_seed=126, wandb_name=avg_loss_each_seed, on GPU=2
Running with pruning_method=0, pruning_rate=0.3, metric_seed=127, wandb_name=avg_loss_each_seed, on GPU=3
Running with pruning_method=0, pruning_rate=0.3, metric_seed=128, wandb_name=avg_loss_each_seed, on GPU=0
Running with pruning_method=0, pruning_rate=0.3, metric_seed=129, wandb_name=avg_loss_each_seed, on GPU=1
Running with pruning_method=0, pruning_rate=0.3, metric_seed=130, wandb_name=avg_loss_each_seed, on GPU=2
Running with pruning_method=0, pruning_rate=0.3, metric_seed=131, wandb_name=avg_loss_each_seed, on GPU=3
Running with pruning_method=0, pruning_rate=0.3, metric_seed=132, wandb_name=avg_loss_each_seed, on GPU=0
Running with pruning_method=0, pruning_rate=0.3, metric_seed=133, wandb_name=avg_loss_each_seed, on GPU=1
Running with pruning_method=0, pruning_rate=0.3, metric_seed=134, wandb_name=avg_loss_each_seed, on GPU=2
Running with pruning_method=0, pruning_rate=0.3, metric_seed=135, wandb_name=avg_loss_each_seed, on GPU=3
Running with pruning_method=0, pruning_rate=0.3, metric_seed=136, wandb_name=avg_loss_each_seed, on GPU=0
Running with pruning_method=0, pruning_rate=0.3, metric_seed=137, wandb_name=avg_loss_each_seed, on GPU=1
Running with pruning_method=0, pruning_rate=0.3, metric_seed=138, wandb_name=avg_loss_each_seed, on GPU=2
Running with pruning_method=0, pruning_rate=0.3, metric_seed=139, wandb_name=avg_loss_each_seed, on GPU=3
Running with pruning_method=0, pruning_rate=0.3, metric_seed=140, wandb_name=avg_loss_each_seed, on GPU=0
Running with pruning_method=0, pruning_rate=0.3, metric_seed=141, wandb_name=avg_loss_each_seed, on GPU=1
Running with pruning_method=0, pruning_rate=0.3, metric_seed=142, wandb_name=avg_loss_each_seed, on GPU=2
Running with pruning_method=0, pruning_rate=0.3, metric_seed=143, wandb_name=avg_loss_each_seed, on GPU=3
Running with pruning_method=0, pruning_rate=0.3, metric_seed=144, wandb_name=avg_loss_each_seed, on GPU=0
Running with pruning_method=0, pruning_rate=0.3, metric_seed=145, wandb_name=avg_loss_each_seed, on GPU=1
Running with pruning_method=0, pruning_rate=0.3, metric_seed=146, wandb_name=avg_loss_each_seed, on GPU=2
Running with pruning_method=0, pruning_rate=0.3, metric_seed=147, wandb_name=avg_loss_each_seed, on GPU=3
Running with pruning_method=0, pruning_rate=0.3, metric_seed=148, wandb_name=avg_loss_each_seed, on GPU=0
Running with pruning_method=0, pruning_rate=0.3, metric_seed=149, wandb_name=avg_loss_each_seed, on GPU=1
Running with pruning_method=0, pruning_rate=0.3, metric_seed=150, wandb_name=avg_loss_each_seed, on GPU=2
wandb: Currently logged in as: ziyang1 (hpi-deep-learning). Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.4
wandb: Run data is saved locally in /home/zi/research_project/mnist/wandb/run-20250126_191355-840k8wn0
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run avg_loss_each_seed_prune0.3_seeds1
wandb: ⭐️ View project at https://wandb.ai/hpi-deep-learning/m-classification-test
wandb: 🚀 View run at https://wandb.ai/hpi-deep-learning/m-classification-test/runs/840k8wn0
wandb: Currently logged in as: ziyang1 (hpi-deep-learning). Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: ziyang1 (hpi-deep-learning). Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: - Waiting for wandb.init()...wandb: - Waiting for wandb.init()...wandb: \ Waiting for wandb.init()...wandb: Tracking run with wandb version 0.19.4
wandb: Run data is saved locally in /home/zi/research_project/mnist/wandb/run-20250126_191408-l7oonsyh
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run avg_loss_each_seed_prune0.3_seeds1
wandb: ⭐️ View project at https://wandb.ai/hpi-deep-learning/m-classification-test
wandb: 🚀 View run at https://wandb.ai/hpi-deep-learning/m-classification-test/runs/l7oonsyh
wandb: \ Waiting for wandb.init()...wandb: | Waiting for wandb.init()...wandb: / Waiting for wandb.init()...wandb: Tracking run with wandb version 0.19.4
wandb: Run data is saved locally in /home/zi/research_project/mnist/wandb/run-20250126_191408-dm267kqi
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run avg_loss_each_seed_prune0.3_seeds1
wandb: ⭐️ View project at https://wandb.ai/hpi-deep-learning/m-classification-test
wandb: 🚀 View run at https://wandb.ai/hpi-deep-learning/m-classification-test/runs/dm267kqi
wandb: Currently logged in as: ziyang1 (hpi-deep-learning). Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: ziyang1 (hpi-deep-learning). Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: ziyang1 (hpi-deep-learning). Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: - Waiting for wandb.init()...wandb: Currently logged in as: ziyang1 (hpi-deep-learning). Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: - Waiting for wandb.init()...wandb: Currently logged in as: ziyang1 (hpi-deep-learning). Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: \ Waiting for wandb.init()...wandb: - Waiting for wandb.init()...wandb: Currently logged in as: ziyang1 (hpi-deep-learning). Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: ziyang1 (hpi-deep-learning). Use `wandb login --relogin` to force relogin
wandb: - Waiting for wandb.init()...wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: ziyang1 (hpi-deep-learning). Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: \ Waiting for wandb.init()...wandb: | Waiting for wandb.init()...wandb: - Waiting for wandb.init()...wandb: \ Waiting for wandb.init()...wandb: \ Waiting for wandb.init()...wandb: - Waiting for wandb.init()...wandb: - Waiting for wandb.init()...wandb: | Waiting for wandb.init()...wandb: - Waiting for wandb.init()...wandb: / Waiting for wandb.init()...wandb: Currently logged in as: ziyang1 (hpi-deep-learning). Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: ziyang1 (hpi-deep-learning). Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: \ Waiting for wandb.init()...wandb: | Waiting for wandb.init()...wandb: | Waiting for wandb.init()...wandb: Currently logged in as: ziyang1 (hpi-deep-learning). Use `wandb login --relogin` to force relogin
wandb: \ Waiting for wandb.init()...wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: \ Waiting for wandb.init()...wandb: / Waiting for wandb.init()...wandb: \ Waiting for wandb.init()...wandb: - Waiting for wandb.init()...wandb: | Waiting for wandb.init()...wandb: / Waiting for wandb.init()...wandb: - Waiting for wandb.init()...wandb: \ Waiting for wandb.init()...wandb: Tracking run with wandb version 0.19.4
wandb: Run data is saved locally in /home/zi/research_project/mnist/wandb/run-20250126_191412-2082iz2a
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run avg_loss_each_seed_prune0.3_seeds1
wandb: ⭐️ View project at https://wandb.ai/hpi-deep-learning/m-classification-test
wandb: 🚀 View run at https://wandb.ai/hpi-deep-learning/m-classification-test/runs/2082iz2a
wandb: - Waiting for wandb.init()...wandb: / Waiting for wandb.init()...wandb: | Waiting for wandb.init()...wandb: | Waiting for wandb.init()...wandb: Currently logged in as: ziyang1 (hpi-deep-learning). Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: - Waiting for wandb.init()...wandb: - Waiting for wandb.init()...wandb: Currently logged in as: ziyang1 (hpi-deep-learning). Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: | Waiting for wandb.init()...wandb: \ Waiting for wandb.init()...wandb: Tracking run with wandb version 0.19.4
wandb: Run data is saved locally in /home/zi/research_project/mnist/wandb/run-20250126_191413-jpr5i2k3
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run avg_loss_each_seed_prune0.3_seeds1
wandb: ⭐️ View project at https://wandb.ai/hpi-deep-learning/m-classification-test
wandb: 🚀 View run at https://wandb.ai/hpi-deep-learning/m-classification-test/runs/jpr5i2k3
wandb: Currently logged in as: ziyang1 (hpi-deep-learning). Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: ziyang1 (hpi-deep-learning). Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: / Waiting for wandb.init()...wandb: - Waiting for wandb.init()...wandb: \ Waiting for wandb.init()...wandb: \ Waiting for wandb.init()...wandb: - Waiting for wandb.init()...wandb: Currently logged in as: ziyang1 (hpi-deep-learning). Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: \ Waiting for wandb.init()...wandb: Tracking run with wandb version 0.19.4
wandb: Run data is saved locally in /home/zi/research_project/mnist/wandb/run-20250126_191413-utdrzml5
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run avg_loss_each_seed_prune0.3_seeds1
wandb: ⭐️ View project at https://wandb.ai/hpi-deep-learning/m-classification-test
wandb: 🚀 View run at https://wandb.ai/hpi-deep-learning/m-classification-test/runs/utdrzml5
wandb: / Waiting for wandb.init()...wandb: Currently logged in as: ziyang1 (hpi-deep-learning). Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: / Waiting for wandb.init()...wandb: \ Waiting for wandb.init()...wandb: Tracking run with wandb version 0.19.4
wandb: Run data is saved locally in /home/zi/research_project/mnist/wandb/run-20250126_191413-93bb7szk
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run avg_loss_each_seed_prune0.3_seeds1
wandb: ⭐️ View project at https://wandb.ai/hpi-deep-learning/m-classification-test
wandb: 🚀 View run at https://wandb.ai/hpi-deep-learning/m-classification-test/runs/93bb7szk
wandb: \ Waiting for wandb.init()...wandb: Currently logged in as: ziyang1 (hpi-deep-learning). Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: - Waiting for wandb.init()...wandb: / Waiting for wandb.init()...wandb: - Waiting for wandb.init()...wandb: - Waiting for wandb.init()...wandb: | Waiting for wandb.init()...wandb: | Waiting for wandb.init()...wandb: - Waiting for wandb.init()...wandb: - Waiting for wandb.init()...wandb: \ Waiting for wandb.init()...wandb: Tracking run with wandb version 0.19.4
wandb: Run data is saved locally in /home/zi/research_project/mnist/wandb/run-20250126_191414-dwl39ry6
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run avg_loss_each_seed_prune0.3_seeds1
wandb: ⭐️ View project at https://wandb.ai/hpi-deep-learning/m-classification-test
wandb: 🚀 View run at https://wandb.ai/hpi-deep-learning/m-classification-test/runs/dwl39ry6
wandb: - Waiting for wandb.init()...wandb: - Waiting for wandb.init()...wandb: - Waiting for wandb.init()...wandb: | Waiting for wandb.init()...wandb: - Waiting for wandb.init()...wandb: \ Waiting for wandb.init()...wandb: Tracking run with wandb version 0.19.4
wandb: Run data is saved locally in /home/zi/research_project/mnist/wandb/run-20250126_191414-q8d5k03y
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run avg_loss_each_seed_prune0.3_seeds1
wandb: ⭐️ View project at https://wandb.ai/hpi-deep-learning/m-classification-test
wandb: 🚀 View run at https://wandb.ai/hpi-deep-learning/m-classification-test/runs/q8d5k03y
wandb: \ Waiting for wandb.init()...wandb: Tracking run with wandb version 0.19.4
wandb: Run data is saved locally in /home/zi/research_project/mnist/wandb/run-20250126_191415-rnfh0xga
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run avg_loss_each_seed_prune0.3_seeds1
wandb: ⭐️ View project at https://wandb.ai/hpi-deep-learning/m-classification-test
wandb: 🚀 View run at https://wandb.ai/hpi-deep-learning/m-classification-test/runs/rnfh0xga
wandb: \ Waiting for wandb.init()...wandb: - Waiting for wandb.init()...wandb: - Waiting for wandb.init()...wandb: \ Waiting for wandb.init()...wandb: \ Waiting for wandb.init()...wandb: Tracking run with wandb version 0.19.4
wandb: Run data is saved locally in /home/zi/research_project/mnist/wandb/run-20250126_191415-np1f0xt6
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run avg_loss_each_seed_prune0.3_seeds1
wandb: ⭐️ View project at https://wandb.ai/hpi-deep-learning/m-classification-test
wandb: 🚀 View run at https://wandb.ai/hpi-deep-learning/m-classification-test/runs/np1f0xt6
wandb: / Waiting for wandb.init()...wandb: / Waiting for wandb.init()...wandb: \ Waiting for wandb.init()...wandb: \ Waiting for wandb.init()...wandb: \ Waiting for wandb.init()...wandb: / Waiting for wandb.init()...wandb: \ Waiting for wandb.init()...wandb: | Waiting for wandb.init()...wandb: \ Waiting for wandb.init()...wandb: | Waiting for wandb.init()...wandb: - Waiting for wandb.init()...wandb: - Waiting for wandb.init()...wandb: | Waiting for wandb.init()...wandb: | Waiting for wandb.init()...wandb: \ Waiting for wandb.init()...wandb: Tracking run with wandb version 0.19.4
wandb: Run data is saved locally in /home/zi/research_project/mnist/wandb/run-20250126_191416-g8yr023h
